aaron	a: r O n
ab	a: p j E
abbadísin	a p a t i s I n
abbas	a p a s
abbast	a p a s t
abc	a: p j E s j E
abdul	a p t u l
abdullah	a p t u l a
abe	ei: p
abel	a: p E l
aber	a: p E r
about	a p au Y t
abraham	a: p r a h a m
abs	a p s
absolute	a p s O l u t
absolutely	a p s O l u t l i
abstrakta	a p s t r a x t a
abstrakt	a p s t r a x t
abstrakti	a p s t r a x t I
abstraktið	a p s t r a x t I D
abstraktinu	a p s t r a x t I n Y
abstraktsins	a p s t r a x t s I n s
abu	a p u
ac	a: s j E
access	a k s E s
accessibility	a k s E s I p I l I t i
accident	a k s I t E n_0 t
account	a k_h au n_0 t
acer	a: s E r
acid	a: s I t
act	a x t
actions	a k s j O n s
active	a x t I v
actors	a x t O r_0 s
actually	a k s j u l i
adam	a: t a m
adams	a: t a m s
ad	a: t
adda	a t a
add	a t
added	a t E t
addi	a t I
address	a t r E s
adds	a t s
adebayor	a: t E p ai O r
adhd	a: t j E h au t j E
adidas	a: t I t a s
adolf	a: t O l f
adolfs	a: t O l f s
adolfsson	a: t O l f s O n
adrian	a t r i a n
advania	a t v a n i j a
aðal	a: D a l
aðalatriði	a: D a l a t r I D I
aðalatriðið	a: D a l a t r I D I D
aðalatriðum	a: D a l a t r I D Y m
aðaláfrýjanda	a: D a l au f r i j a n t a
aðaláfrýjandi	a: D a l au f r i j a n t I
aðaláhugamál	a: D a l au h Y G a m au l
aðalástæðan	a: D a l au s t ai D a n
aðalbjörg	a: D a l p j 9 r k
aðalbraut	a: D a l p r 9i t
aðalbyggingu	a: D a l p I c i N k Y
aðalbyggingunni	a: D a l p I c i N k Y n I
aðaldal	a: D a l t a l
aðaleigandi	a: D a l ei G a n t I
aðaleinkenni	a: D a l ei J c_h E n I
aðaleinkunn	a: D a l ei N_0 k Y n
aðalframkvæmdastjóri	a: D a l f r a m k_h v ai m t a s t j ou r I
aðalfréttirnar	a: D a l f r j E h t I r t n a r
aðalfulltrúar	a: D a l f Y t l_0 t_h r u a r
aðalfund	a: D a l f Y n t
aðalfundar	a: D a l f Y n t a r
aðalfundardegi	a: D a l f Y n t a r t ei j I
aðalfundarstörf	a: D a l f Y n t a r_0 s t 9 r v
aðalfundarstörfum	a: D a l f Y n t a r_0 s t 9 r v Y m
aðalfundi	a: D a l f Y n t I
aðalfundinum	a: D a l f Y n t I n Y m
aðalfundur	a: D a l f Y n t Y r
aðalhagfræðingur	a: D a l h a x f r ai D i N k Y r
aðalheiðar	a: D a l h ei D a r
aðalheiður	a: D a l h ei D Y r
aðalhlutverk	a: D a l_0 Y t v E r_0 k
aðalhlutverki	a: D a l_0 Y t v E r_0 c I
aðalhlutverkið	a: D a l_0 Y t v E r_0 c I D
aðalhlutverkin	a: D a l_0 Y t v E r_0 c I n
aðalhlutverkinu	a: D a l_0 Y t v E r_0 c I n Y
aðalhlutverkum	a: D a l_0 Y t v E r_0 k Y m
aðalkostur	a: D a l k_h O s t Y r
aðalkrafa	a: D a l k_h r a v a
aðalkröfu	a: D a l k_h r 9 v Y
aðalkvöldfréttatími	a: D a l k_h v 9 l t f r j E h t a t_h i m I
aðallandstjórans	a: D a l a n t s t j ou r a n s
aðallega	a: D a l E G a
aðalleiðbeinandi	a: D a l ei D p ei n a n t I
aðalleikendur	a: D a l ei k E n t Y r
aðalleit	a: D a l ei t
aðalliði	a: D a l I D I
aðalliðinu	a: D a l I D I n Y
aðallista	a: D a l I s t a
aðalmarkvörður	a: D a l m a r_0 k v 9 r D Y r
aðalmálið	a: D a l m au l I D
aðalmeðferð	a: D a l m E D f E r D
aðalmeðferðar	a: D a l m E D f E r D a r
aðalmenn	a: D a l m E n
aðalnámskrá	a: D a l n au m s k r au
aðalnámskránni	a: D a l n au m s k r au n I
aðalpersóna	a: D a l p_h E r_0 s ou n a
aðalpersónan	a: D a l p_h E r_0 s ou n a n
aðalpersónu	a: D a l p_h E r_0 s ou n Y
aðalpósthúsinu	a: D a l p_h ou s t_h u s I n Y
aðalsafnaðarfundur	a: D a l s a p n a D a r_0 f Y n t Y r
aðalsafninu	a: D a l s a p n I n Y
aðalsafnsins	a: D a l s a p n_0 s I n s
aðalskipulag	a: D a l s c I p Y l a G
aðalskipulagi	a: D a l s c I p Y l ai j I
aðalskipulaginu	a: D a l s c I p Y l ai j I n Y
aðalskipulags	a: D a l s c I p Y l a x s
aðalskrifstofa	a: D a l s k r I f s t O v a
aðalsmerki	a: D a l s m E r_0 c I
aðalstefnanda	a: D a l s t E p n a n t a
aðalstefnandi	a: D a l s t E p n a n t I
aðalstefnda	a: D a l s t E m t a
aðalstefndi	a: D a l s t E m t I
aðalstefndu	a: D a l s t E m t Y
aðalstefnendur	a: D a l s t E p n E n t Y r
aðalsteinn	a: D a l s t ei t n_0
aðalsteins	a: D a l s t ei n s
aðalsteinsdóttir	a: D a l s t ei n s t ou h t I r
aðalsteinsson	a: D a l s t ei n s O n
aðalstjórn	a: D a l s t j ou r t n_0
aðalstræti	a: D a l s t r ai t I
aðalsök	a: D a l s 9 k
aðaltekjulindir	a: D a l t_h E c Y l I n t I r
aðalvandinn	a: D a l v a n t I n
aðalverki	a: D a l v E r_0 c I
aðalverktaka	a: D a l v E r_0 t_h a k a
aðalverktakar	a: D a l v E r_0 t_h a k a r
aðalverktökum	a: D a l v E r_0 t_h 9 k Y m
aðalvík	a: D a l v i k
aðalþjálfari	a: D a l T j au l v a r I
aðbúnað	a D p u n a D
aðbúnaði	a D p u n a D I
aðbúnaður	a D p u n a D Y r
aðdáandi	a D t au a n t I
aðdáenda	a D t au E n t a
aðdáendaklúbbs	a D t au E n t a k_h l u p s
aðdáendum	a D t au E n t Y m
aðdáendur	a D t au E n t Y r
aðdáun	a D t au Y n
aðdáunarvert	a D t au Y n a r v E r_0 t
aðdraganda	a D t r a G a n t a
aðdragandi	a D t r a G a n t I
aðdragandinn	a D t r a G a n t I n
aðdráttarafl	a D t r au h t a r a p l_0
aðdráttarlinsuna	a D t r au h t a r l I n s Y n a
aðdróttanir	a D t r ou h t a n I r
aðdróttun	a D t r ou h t Y n
aðeins	a: D ei n s
aðfangadag	a D f au N k a t a G
aðfangadagskvöld	a D f au N k a t a x s k_h v 9 l t
aðfangadagur	a D f au N k a t a G Y r
aðfaranótt	a D f a r a n ou h t
aðfararbeiðni	a D f a r a r p ei D n I
aðfarargerð	a D f a r a r c E r D
aðfararnótt	a D f a r a r n ou h t
aðferða	a D f E r D a
aðferð	a D f E r D
aðferðafræði	a D f E r D a f r ai D I
aðferðina	a D f E r D I n a
aðferðin	a D f E r D I n
aðferðir	a D f E r D I r
aðferðirnar	a D f E r D I r t n a r
aðferðum	a D f E r D Y m
aðflugshallasendum	a D f l Y x s h a t l a s E n t Y m
aðflutningsgjöld	a D f l Y h t n I N s c 9 l t
aðframkomnir	a D f r a m k_h O m n I r
aðföng	a D f 9i N k
aðföngum	a D f 9i N k Y m
aðför	a D f 9 r
aðgang	a D k au N k
aðgangi	a D k au J c I
aðgangs	a D k au N s
aðgangsbox	a D k au N s p O k s
aðgangseyri	a D k au N s ei r I
aðgangseyrir	a D k au N s ei r I r
aðgangsharðir	a D k au N s h a r D I r
aðgangsorð	a D k au N s O r D
aðgangur	a D k au N k Y r
aðgát	a D k au t
aðgengi	a D c ei J c I
aðgengilega	a D c ei J c I l E G a
aðgengileg	a D c ei J c I l E G
aðgengilegan	a D c ei J c I l E G a n
aðgengilegar	a D c ei J c I l E G a r
aðgengilegasta	a D c ei J c I l E G a s t a
aðgengilegir	a D c ei J c I l ei j I r
aðgengilegri	a D c ei J c I l E G r I
aðgengilegt	a D c ei J c I l E x t
aðgengilegum	a D c ei J c I l E G Y m
aðgengilegur	a D c ei J c I l E G Y r
aðgerða	a D c E r D a
aðgerðaáætlun	a D c E r D a au ai h t l Y n
aðgerð	a D c E r D
aðgerðaleysi	a D c E r D a l ei s I
aðgerðanna	a D c E r D a n a
aðgerðar	a D c E r D a r
aðgerðaráætlun	a D c E r D a r au ai h t l Y n
aðgerðarleysi	a D c E r D a r l ei s I
aðgerðina	a D c E r D I n a
aðgerðin	a D c E r D I n
aðgerðinni	a D c E r D I n I
aðgerðir	a D c E r D I r
aðgerðirnar	a D c E r D I r t n a r
aðgerðum	a D c E r D Y m
aðgerðunum	a D c E r D O n Y m
aðgreina	a D k r ei n a
aðgreiningar	a D k r ei n i N k a r
aðgæslu	a D c ai s t l Y
aðgætni	a D c ai h t n I
aðgöngumiða	a D k 9i N k Y m I D a
aðhafast	a T h a v a s t
aðhafst	a D h a f s t
aðhald	a: T h a l t
aðhaldi	a: T h a l t I
aðhalds	a D h a l t s
aðhaldssamur	a D h a l t s a m Y r
aðhlynningar	a D l_0 I n i N k a r
aðhlynningu	a: D l_0 I n i N k Y
aðhyllast	a: T h I t l a s t
aðhyllist	a: T h I t l I s t
aðhylltist	a: D h I l_0 t I s t
aðila	a: D I l a
aðilanna	a: D I l a n a
aðilar	a: D I l a r
aðilarnir	a: D I l a r t n I r
aðild	a: D I l t
aðildar	a: D I l t a r
aðildarfélaga	a: D I l t a r_0 f j E l a G a
aðildarfélög	a: D I l t a r_0 f j E l 9 G
aðildarfélögum	a: D I l t a r_0 f j E l 9 G Y m
aðildarfyrirtækja	a: D I l t a r_0 f I r I r_0 t_h ai c a
aðildarlanda	a: D I l t a r l a n t a
aðildarríki	a: D I l t a r i c I
aðildarríkin	a: D I l t a r i c I n
aðildarríkja	a: D I l t a r i c a
aðildarríkjanna	a: D I l t a r i c a n a
aðildarríkjum	a: D I l t a r i c Y m
aðildarríkjunum	a: D I l t a r i c O n Y m
aðildarskorts	a: D I l t a r_0 s k O r_0 t s
aðildarumsókn	a: D I l t a r Y m s ou h k n_0
aðildarviðræðna	a: D I l t a r v I D r ai D n a
aðildarviðræðum	a: D I l t a r v I D r ai D Y m
aðildarviðræður	a: D I l t a r v I D r ai D Y r
aðili	a: D I l I
aðilinn	a: D I l I n
aðilum	a: D I l Y m
aðkallandi	a D k_h a t l a n t I
aðkasti	a D k_h a s t I
aðkoma	a D k_h O m a
aðkoman	a D k_h O m a n
aðkomu	a D k_h O m Y
aðkomumaður	a D k_h O m Y m a D Y r
aðkomumanna	a D k_h O m Y m a n a
aðkomumenn	a D k_h O m Y m E n
aðkomunni	a D k_h O m Y n I
aðlaðandi	a D l a D a n t I
aðlaga	a D l a G a
aðlagast	a D l a G a s t
aðliggjandi	a D l I c a n t I
aðlögun	a D l 9 G Y n
aðlögunartíma	a D l 9 G Y n a r_0 t_h i m a
aðnjótandi	a D n j ou t a n t I
aðra	a D r a
aðrar	a D r a r
aðrennslisgöng	a D r E n s t l I s k 9i N k
aðrir	a D r I r
aðsendri	a D s E n t r I
aðsetur	a D s E t Y r
aðskildum	a D s c I l t Y m
aðskilin	a D s c I l I n
aðskilja	a D s c I l j a
aðskilnað	a D s c I l n a D
aðskilnaðarsinna	a D s c I l n a D a r_0 s I n a
aðskilnaði	a D s c I l n a D I
aðskilnaður	a D s c I l n a D Y r
aðsókn	a D s ou h k n_0
aðsóknar	a D s ou h k n a r
aðsóknin	a D s ou h k n I n
aðspurð	a D s p Y r D
aðspurðra	a D s p Y r D r a
aðspurður	a D s p Y r D Y r
aðspurt	a D s p Y r_0 t
aðstaða	a D s t a D a
aðstaðan	a D s t a D a n
aðstandenda	a D s t a n t E n t a
aðstandendum	a D s t a n t E n t Y m
aðstandendur	a D s t a n t E n t Y r
aðstoða	a D s t O D a
aðstoð	a D s t O D
aðstoðað	a D s t O D a D
aðstoðaði	a D s t O D a D I
aðstoðar	a D s t O D a r
aðstoðarforingja	a D s t O D a r_0 f O r i J c a
aðstoðarforstjóri	a D s t O D a r_0 f O r_0 s t j ou r I
aðstoðarforsætisráðherra	a D s t O D a r_0 f O r_0 s ai t I s r au T h E r a
aðstoðarframkvæmdastjóri	a D s t O D a r_0 f r a m k_h v ai m t a s t j ou r I
aðstoðarmaður	a D s t O D a r m a D Y r
aðstoðarmaðurinn	a D s t O D a r m a D Y r I n
aðstoðarmanna	a D s t O D a r m a n a
aðstoðarmann	a D s t O D a r m a n
aðstoðarmanni	a D s t O D a r m a n I
aðstoðarmanns	a D s t O D a r m a n s
aðstoðarmenn	a D s t O D a r m E n
aðstoðarmönnum	a D s t O D a r m 9 n Y m
aðstoðarsaksóknari	a D s t O D a r_0 s a k s ou h k n a r I
aðstoðarskólameistara	a D s t O D a r_0 s k ou l a m ei s t a r a
aðstoðarskólastjóri	a D s t O D a r_0 s k ou l a s t j ou r I
aðstoðaryfirlögregluþjónn	a D s t O D a r I v I r l 9 G r E k l Y T j ou t n_0
aðstoðarþjálfari	a D s t O D a r T j au l v a r I
aðstoðina	a D s t O D I n a
aðstoðuðu	a D s t O D Y D Y
aðstæðna	a D s t ai D n a
aðstæðum	a D s t ai D Y m
aðstæður	a D s t ai D Y r
aðstæðurnar	a D s t ai D Y r t n a r
aðstöðu	a D s t 9 D Y
aðstöðumun	a D s t 9 D Y m Y n
aðstöðuna	a D s t 9 D Y n a
aðventu	a D v E n_0 t Y
aðventukvöld	a D v E n_0 t Y k_h v 9 l t
aðventulag	a D v E n_0 t Y l a G
aðventunni	a D v E n_0 t Y n I
aðvífandi	a D v i v a n t I
aðvörun	a D v 9 r Y n
aek	a: E k_h au
afa	a: v a
af	a: f
afar	a: v a r
afborgana	a v p O r k a n a
afborganir	a v p O r k a n I r
afborgun	a v p O r k Y n
afborgunum	a v p O r k O n Y m
afbragð	a v p r a G D
afbragðs	a v p r a G D s
afbragðsfólk	a v p r a G D s f ou l_0 k
afbrigði	a v p r I G D I
afbrigðilegrar	a v p r I G D I l E G r a r
afbrigðilegt	a v p r I G D I l E x t
afbrigðum	a v p r I G D Y m
afbrota	a v p r O t a
afbrot	a v p r O t
afbrotum	a v p r O t Y m
afburða	a v p Y r D a
afdráttarlaus	a v t r au h t a r l 9i s
afdráttarlaust	a f t r au h t a r l 9i s t
afdrep	a v t r E p
afdrifarík	a v t r I v a r i k
afdrif	a v t r I v
affalla	a f a t l a
affalls	a f a t l_0 s
afferma	a f E r m a
afföll	a f 9 t l_0
afföllin	a f 9 t l I n
afgangateppi	a f k au N k a t_h E h p I
afgang	a v k au N k
afgangi	a v k au J c I
afganginn	a v k au J c I n
afgangs	a v k au N s
afgangur	a v k au N k Y r
afgangurinn	a v k au N k Y r I n
afganistan	a v k a n I s t a n
afganistans	a f k a n I s t a n s
afgerandi	a v c E r a n t I
afgreiddar	a v k r ei t a r
afgreidd	a v k r ei t
afgreiddi	a v k r ei t I
afgreiða	a v k r ei D a
afgreiði	a v k r ei D I
afgreiðsla	a v k r ei D s t l a
afgreiðslu	a v k r ei D s t l Y
afgreiðslugjöld	a v k r ei D s t l Y c 9 l t
afgreiðslunefnd	a v k r ei D s t l Y n E m t
afgreiðslustelpan	a v k r ei D s t l Y s t E l_0 p a n
afgreiðslutíma	a v k r ei D s t l Y t_h i m a
afgreitt	a v k r ei h t
afhenda	a f h E n t a
afhendi	a f h E n t I
afhending	a f h E n t i N k
afhendingar	a f h E n t i N k a r
afhendingu	a f h E n t i N k Y
afhendir	a f h E n t I r
afhenta	a f h E n_0 t a
afhent	a f h E n_0 t
afhentan	a f h E n_0 t a n
afhentar	a f h E n_0 t a r
afhenti	a f h E n_0 t I
afhentir	a f h E n_0 t I r
afhentu	a f h E n_0 t Y
afhentur	a f h E n_0 t Y r
afhjúpa	a f C u p a
afhjúpað	a v C u p a D
afhomma	a f h O m a
afhroð	a f r_0 O D
afhverju	a f k_h v E r j Y
afhöggvinn	a f h 9 k v I n
afi	a: v I
afkastagetu	a v k_h a s t a c E t Y
afkastamikill	a v k_h a s t a m I c I t l_0
afklæddist	a v k_h l ai t I s t
afklæðast	a v k_h l ai D a s t
afkoma	a v k_h O m a
afkoman	a v k_h O m a n
afkomandi	a v k_h O m a n t I
afkomenda	a v k_h O m E n t a
afkomendum	a v k_h O m E n t Y m
afkomendur	a v k_h O m E n t Y r
afkomu	a v k_h O m Y
afkomukreppu	a v k_h O m Y k_h r E h p Y
afkomuna	a v k_h O m Y n a
afkomutölur	a v k_h O m Y t_h 9 l Y r
afkvæmarannsókn	a v k_h v ai m a r a n s ou h k n_0
afkvæmi	a v k_h v ai m I
afkvæmum	a v k_h v ai m Y m
afköst	a v k_h 9 s t
afköstum	a v k_h 9 s t Y m
afla	a p l a
aflabrögð	a p l a p r 9 G D
aflað	a p l a D
aflaði	a p l a D I
aflaheimilda	a p l a h ei m I l t a
aflaheimildir	a p l a h ei m I l t I r
aflaheimildum	a p l a h ei m I l t Y m
aflahlutdeild	a p l a l_0 Y t ei l t
aflahlutdeildum	a p l a l_0 Y t ei l t Y m
aflamark	a p l a m a r_0 k
aflamarki	a p l a m a r_0 c I
aflamarks	a p l a m a r_0 k s
aflamarksbátum	a p l a m a r_0 k s p au t Y m
aflamarkskerfi	a p l a m a r_0 k s c_h E r v I
aflandsfélög	a v l a n t s f j E l 9 G
aflann	a p l a n
aflans	a p l a n s
aflanum	a p l a n Y m
afl	a p l_0
aflar	a p l a r
aflaskýrslu	a p l a s c i r_0 s t l Y
aflausn	a v l 9i s t n_0
aflaverðmæti	a p l a v E r D m ai t I
afláts	a v l au t s
afleggjaranum	a v l E c a r a n Y m
afleidd	a v l ei t
afleiða	a v l ei D a
afleiðinga	a v l ei D i N k a
afleiðingar	a v l ei D i N k a r
afleiðingarnar	a v l ei D i N k a r t n a r
afleiðing	a v l ei D i N k
afleiðingin	a v l ei D i J c I n
afleiðingu	a v l ei D i N k Y
afleiðingum	a v l ei D i N k Y m
afleiðingunum	a v l ei D i N k O n Y m
afleit	a v l ei t
afleitt	a v l ei h t
aflétta	a f l j E h t a
aflétt	a v l j E h t
afli	a p l I
aflið	a p l I D
aflinn	a p l I n
afloknum	a v l O h k n Y m
afls	a p l s
aflýsa	a v l i s a
aflýst	a v l i s t
afmarka	a v m a r_0 k a
afmarkaða	a v m a r_0 k a D a
afmarkað	a v m a r_0 k a D
afmarkast	a v m a r_0 k a s t
afmá	a v m au
afmæli	a v m ai l I
afmælið	a v m ai l I D
afmælinu	a v m ai l I n Y
afmælis	a v m ai l I s
afmælisbarns	a v m ai l I s p a r_0 s
afmælisdaginn	a v m ai l I s t ai j I n
afmælisdegi	a v m ai l I s t ei j I
afmælisgjöf	a v m ai l I s c 9 f
afmælisins	a v m ai l I s I n s
afmælissamkomu	a v m ai l I s a m k_h O m Y
afmælissönginn	a v m ai l I s 9i J c I n
afmælissöngnum	a v m ai l I s 9i N n Y m
afmælisveislan	a v m ai l I s v ei s t l a n
afmælisveislu	a v m ai l I s v ei s t l Y
afmörkuð	a v m 9 r_0 k Y D
afmörkuðu	a v m 9 r_0 k Y D Y
afmörkuðum	a v m 9 r_0 k Y D Y m
afmörkun	a v m 9 r_0 k Y n
afnám	a v n au m
afnámi	a v n au m I
afnáms	a v n au m s
afneita	a v n ei t a
afneitun	a v n ei t Y n
afnema	a v n E m a
afnota	a v n O t a
afnotarétt	a v n O t a r j E h t
afnot	a v n O t
afnumið	a v n Y m I D
afnumin	a v n Y m I n
afnuminn	a v n Y m I n
afoxun	a: v O k s Y n
afplána	a v p l au n a
afplánað	a v p_h l au n a D
afplánun	a v p_h l au n Y n
afrakstur	a v r a k s t Y r
afraksturinn	a v r a k s t Y r I n
afreka	a v r E k a
afrekað	a v r E k a D
afrek	a v r E k
afrekum	a v r E k Y m
afrétti	a v r j E h t I
africa	a f r I k a
african	a f r I k a n
afrifu	a v r I v Y
afrit	a v r I t
afritunarhnappinn	a v r I t Y n a r_0 n_0 a h p I n
afríka	a: f r i k a
afríku	a f r i k Y
afríkuverkefnisins	a f r i k Y v E r_0 k E p n I s I n s
afsagnar	a f s a k n a r
afsaka	a f s a k a
afsakanir	a f s a k a n I r
afsakanirnar	a f s a k a n I r t n a r
afsala	a f s a l a
afsalað	a f s a l a D
afsalaði	a f s a l a D I
afsal	a f s a l
afsali	a f s a l I
afsalinu	a f s a l I n Y
afsals	a f s a l s
afskaplega	a f s k a p l E G a
afskekkta	a f s c E x t a
afskekkt	a f s c E x t
afskekktan	a f s c E x t a n
afskekktum	a f s c E x t Y m
afskipta	a f s c I f t a
afskiptalausa	a f s c I f t a l 9i s a
afskiptalaus	a f s c I f t a l 9i s
afskiptasemi	a f s c I f t a s E m I
afskipti	a f s c I f t I
afskiptum	a f s c I f t Y m
afskrifa	a f s k r I v a
afskrifað	a f s k r I v a D
afskrifaðar	a f s k r I v a D a r
afskrifta	a f s k r I f t a
afskriftareikning	a f s k r I f t a r ei h k n i N k
afskriftir	a f s k r I f t I r
afskriftum	a f s k r I f t Y m
afskræmt	a f s k r ai m_0 t
afslappaður	a f s t l a h p a D Y r
afslátt	a f s t l au h t
afsláttar	a f s t l au h t a r
afsláttur	a f s t l au h t Y r
afslætti	a f s t l ai h t I
afsprengi	a f s p r ei J c I
afstaða	a f s t a D a
afstaðan	a f s t a D a n
afstýra	a f s t i r a
afstýrt	a f s t i r_0 t
afstæður	a f s t ai D Y r
afstætt	a f s t ai h t
afstöðu	a f s t 9 D Y
afstöðubreytingu	a f s t 9 D Y p r ei t i N k Y
afsögn	a f s 9 k n_0
afsökun	a f s 9 k Y n
afsökunar	a f s 9 k Y n a r
afsökunarbeiðni	a f s 9 k Y n a r p ei D n I
aftan	a f t a n
aftansöngur	a f t a n s 9i N k Y r
aftar	a f t a r
aftari	a f t a r I
aftarlega	a f t a r l E G a
aftast	a f t a s t
aftenposten	a f t E n p_h ou s t E n
after	a f t E r
aftonbladet	a f t O n p l a t E t
aftra	a f t r a
aftur	a f t Y r
afturábak	a f t Y r au p a k
afturelding	a f t Y r E l t i N k
aftureldingar	a f t Y r E l t i N k a r
aftureldingu	a f t Y r E l t i N k Y
afturenda	a f t Y r E n t a
afturendann	a f t Y r E n t a n
afturför	a f t Y r_0 f 9 r
afturgluggann	a f t Y r k l Y k a n
afturgoldið	a f t Y r k O l t I D
afturgöngu	a f t Y r_0 k 9i N k Y
afturgöngur	a f t Y r k 9i N k Y r
afturhald	a f t Y r_0 h a l t
afturhvarf	a f t Y r_0 k_h v a r f
afturí	a f t Y r i
afturkalla	a f t Y r_0 k_h a t l a
afturkallað	a f t Y r_0 k_h a t l a D
afturkvæmt	a f t Y r_0 k_h v ai m_0 t
afturkölluð	a f t Y r_0 k_h 9 t l Y D
afturköllun	a f t Y r_0 k_h 9 t l Y n
afturlappirnar	a f t Y r l a h p I r t n a r
afturstuðarann	a f t Y r_0 s t Y D a r a n
aftursæti	a f t Y r_0 s ai t I
aftursætið	a f t Y r_0 s ai t I D
afturvirkt	a f t Y r v I r_0 t
aftöku	a f t_h 9 k Y
aftökur	a f t_h 9 k Y r
afurða	a: v Y r D a
afurðanna	a: v Y r D a n a
afurðasamsetning	a: v Y r D a s a m s E h t n i N k
afurðatekjum	a: v Y r D a t_h E c Y m
afurðaverð	a: v Y r D a v E r D
afurð	a: v Y r D
afurðir	a: v Y r D I r
afurðirnar	a: v Y r D I r t n a r
afurðum	a: v Y r D Y m
afviknum	a v I h k n Y m
afvopna	a v O h p n a
afvopnun	a v O h p n Y n
afþakkað	a f T a h k a D
afþakkaði	a f T a h k a D I
afþreying	a f T r ei j i N k
afþreyingar	a f T r ei j i N k a r
afþreyingu	a f T r ei j i N k Y
aga	a: G a
agalegt	a: G a l E x t
aganefnd	a: G a n E m t
aged	ei: t s t
age	ei: t s
agency	ei: t j E n s i
agenta	ei: t j E n_0 t a
agentana	ei: t j E n_0 t a n a
agentar	ei: t j E n_0 t a r
agent	ei t j E n_0 t
agentinn	ei: t j E n_0 t I n
agents	ei: t j E n_0 t s
agentum	ei: t j E n_0 t Y m
agf	a: k j E: E f
aggagagg	a k a k a k
agger	a c E r
aggi	a c I
agi	ai j I
aginn	ai j I n
agitera	a c I t_h E r a
agiterað	a c I t_h E r a D
agla	a k l a
agli	a k l I
agn	a k n_0
agnar	a k n a r
agnarpunkts	a k n a r_0 p_h u n_0 t s
agnars	a k n a r_0 s
agnarsdóttir	a k n a r_0 s t ou h t I r
agnarsson	a k n a r_0 s O n
agnes	a k n E s
agnesar	a k n E s a r
agnesi	a k n E s I
agressífa	a: k r E s i v a
agressíf	a: k r E s i v
agressífar	a: k r E s i v a r
agressífari	a: k r E s i v a r I
agressífastur	a: k r E s i v a s t Y r
agressífir	a: k r E s i v I r
agressífra	a: k r E s i v r a
