endurlausnarkirkjunni	E n t Y r l 9i s t n a r c_h I r_0 c Y n I
innhringingu	I n r_0 i J c i N k Y
hæf	h ai: v
geymdar	c ei m t a r
ribery	r i: p E r i
drifið	t r I: v I D
hífa	h i: v a
repúblikanar	r E: p_h u p l I k_h a n a r
vébanda	v j E: p a n t a
millifærslu	m I t l I f ai r_0 s t l Y
jájá	j au: j au
vatnsósa	v a s ou s a
ólögráða	ou: l 9 G r au D a
mestallt	m E s t a l_0 t
útreikning	u: t r ei h k n i N k
cycles	s ai: k u l s
skipulagði	s c I: p Y l a G D I
greiðslukort	k r ei D s t l Y k_h O r_0 t
booster	p u s t E r
rignir	r I k n I r
corporate	k_h O r_0 p O r E t
kröppu	k_h r 9 h p Y
líktust	l i x t Y s t
sjálfskuldarábyrgð	s j au l f s k Y l t a r au p I r D
varast	v a: r a s t
þenslu	T E n s t l Y
bakland	p a: k l a n t
gestsins	c E s t s I n s
skírskota	s c i r_0 s k O t a
hafragrautur	h a v r a k r 9i t Y r
heimsóknartímar	h ei m s ou h k n a r_0 t_h i m a r
hallormsstað	h a t l O r m s t a D
meir	m ei: r
millifærðs	m I t l I f ai r D s
móðirin	m ou: D I r I n
stuff	s t 9 f
leiðrétt	l ei D r j E h t
nýlegum	n i: l E G Y m
líflegt	l i v l E x t
kvefinu	k_h v E: v I n Y
bönn	p 9 n
umfangs	Y m f au N s
hagsmunaaðilar	h a x s m Y n a D I l a r
kringlusafni	k_h r i N l Y s a p n I
pompeo	p_h O m p_h E ou
rifsberjatrén	r I f s p E r j a t_h r j E n
sætri	s ai: t r I
efnahagur	E p n a h a G Y r
eftirlitsins	E f t I r l I t s I n s
kjörnir	c_h 9 r t n I r
langflest	l au N k f l E s t
endurspeglar	E n t Y r_0 s p ei k l a r
starfsfólksins	s t a r f s f ou l_0 k s I n s
fréttaskýrendur	f r j E h t a s c i r E n t Y r
miðvikudagur	m I D v I k Y t a G Y r
heimsstyrjaldarinnar	h ei m s t I r j a l t a r I n a r
alsett	a l s E h t
cross	k_h r O s
yfirheyrslu	I: v I r_0 h ei r_0 s t l Y
olíugallarnir	O: l i j Y k a l a r t n I r
andstæðir	a n t s t ai D I r
flóttann	f l ou h t a n
letters	l E h t E r_0 s
hallgrímskirkju	h a t l_0 k r i m s c_h I r_0 c Y
hélst	C E l s t
íbúðaverð	i: p u D a v E r D
kynntir	c_h I n_0 t I r
hanga	h au N k a
hugleiðingum	h Y G l ei D i N k Y m
verkun	v E r_0 k Y n
mannanna	m a n a n a
smjörið	s m j 9: r I D
atvinnuvega	a: t v I n Y v E G a
dollir	t O t l I r
ingólfur	i N k ou l v Y r
milljarðatugina	m I l j a r D a t_h Yi j I n a
ákærði	au: c_h ai r D I
barnabarn	p a r t n a p a r t n_0
reykjavíkurdeild	r ei: c a v i k Y r t ei l t
almannatryggingakerfinu	a l m a n a t_h r I c i N k a c_h E r v I n Y
mýs	m i: s
andartaki	a n t a r_0 t_h a c I
offramleiðslu	O f r a m l ei D s t l Y
siglufirði	s I k l Y f I r D I
robertson	r O p E r_0 t s O n
fredrikstad	f r E D r I k s t a D
vinnumarkaðnum	v I n Y m a r_0 k a D n Y m
titlinum	t_h I h t l I n Y m
blekkja	p l E h c a
brynja	p r I n j a
stafsetningarvillur	s t a f s E h t n I N k a r v I t l Y r
auðvelt	9i D v E l_0 t
húsveggnum	h u: s v E k n Y m
dylgja	t I l c a
þekkingin	T E h c i J c I n
bild	p I l t
kuldagallann	k_h Y l t a k a l a n
engjaskóla	ei J c a s k ou l a
fiskibollanna	f I s c I p O l a n a
boða	p O: D a
sameiningunni	s a: m ei n i N k Y n I
pollrólegustum	p_h O t l r ou l E G Y s t Y m
klámbúllurnar	k_h l au m p u l Y r t n a r
